NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,right,1.563000202178955,2,0,1.9189999103546143,6
1,right,0.01399993896484375,1,1,3.6619999408721924,12
1,left,3.8399999141693115,0,0,2.638000011444092,6
0, ,0,0,1,0.6579999923706055,9.0
1,left,0.8359999656677246,0,1,1.6060001850128174,9.0
1,left,0.6760001182556152,0,0,0.7810001373291016,6
1,left,0.002000093460083008,0,1,0.3840000629425049,3.0
1,left,0.44300007820129395,0,0,0.622999906539917,6
1,left,1.3050000667572021,0,1,0.35199999809265137,0
1,left,0.4460000991821289,0,1,0.9760000705718994,12
1,left,0.08899998664855957,0,1,1.4720001220703125,9.0
1,left,9.07200002670288,0,0,1.9520001411437988,6
0, ,2.7939999103546143,0,0,2.9040000438690186,6
1,left,0,0,1,4.3440001010894775,3.0
1,left,1.7889997959136963,0,0,1.7890000343322754,6
1,left,3.124000072479248,0,0,0.6979999542236328,6
1,left,0.40000009536743164,0,0,11.795000076293945,6
1,left,5.858999967575073,0,1,0.29600000381469727,9.0
0, ,0.624000072479248,0,1,0.03500008583068848,0
1,left,0,0,1,0.7220001220703125,12
1,left,0.6809999942779541,0,0,0.7699999809265137,6
0, ,2.4210000038146973,0,0,11.171000003814697,6
1,left,0,0,0,4.1559998989105225,6
1,left,4.873000144958496,0,1,12.281999826431274,12
0, ,1.4609999656677246,0,1,2.317999839782715,12
1,left,0,0,0,2.494999885559082,6
1,left,1.4739999771118164,0,0,10.150000095367432,6
1,right,6.135999917984009,2,0,0.7269999980926514,6
0, ,1.0929999351501465,0,0,0.17300009727478027,6
0, ,0,0,1,2.1570000648498535,0
0, ,0,0,0,0.09200000762939453,6
0, ,0,0,0,4.944999933242798,6
1,left,0,0,0,6.29200005531311,6
1,right,6.065000057220459,1,1,4.264000177383423,6.0
1,left,2.2730000019073486,0,0,2.5439999103546143,6
1,left,0.6940000057220459,0,0,2.248000144958496,6
0, ,0.7539999485015869,0,1,2.822000026702881,9.0
1,left,0,0,1,3.135999917984009,12
1,left,0.810999870300293,0,0,2.8480000495910645,6
0, ,0.500999927520752,0,1,0.8169999122619629,12
1,left,0,0,0,0.7630000114440918,6
1,left,0.056999921798706055,0,0,0.9779999256134033,6
1,left,0.08599996566772461,0,1,0.7590000629425049,12
0, ,0.35199999809265137,0,1,0.3960001468658447,3.0
1,left,0,0,0,0.6389999389648438,6
1,left,0.5980000495910645,0,1,0.3659999370574951,6.0
1,left,0.24000000953674316,0,1,1.941999912261963,0
0, ,0.7890000343322754,0,1,0.21199989318847656,12
1,left,0,0,0,0.4330000877380371,6
1,left,1.1550002098083496,0,0,0.3689999580383301,6
1,left,0.07400012016296387,0,1,0.440000057220459,3.0
1,left,0.5750000476837158,0,1,0.08799982070922852,0
1,right,0.019999980926513672,2,1,0.7439999580383301,0
1,right,2.5319998264312744,1,1,0.9479999542236328,12
0, ,0.7189998626708984,0,0,4.931999921798706,6
1,right,0,1,1,0.7850000858306885,12
1,right,0.21000003814697266,1,1,56.08999991416931,12
1,right,0.7049999237060547,2,0,1.5079998970031738,6
1,right,0.7220001220703125,1,1,0.4700000286102295,9.0
1,right,0.01900005340576172,1,1,0.8429999351501465,12
1,right,0.6099998950958252,2,0,0.31099987030029297,6
1,right,0.43400001525878906,2,0,0.6039998531341553,6
0, ,1.5810000896453857,0,0,0.3259999752044678,6
0, ,0,0,0,0.2690000534057617,6
1,right,0,1,1,0.3689999580383301,12
1,right,0.871999979019165,2,0,0.3599998950958252,6
1,right,1.2219998836517334,2,0,0.6769998073577881,6
0, ,0.7120001316070557,0,0,0.29600000381469727,6
1,right,0,1,1,0.14800000190734863,12
1,right,0.872999906539917,2,0,0.2740001678466797,6
