NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,left,1.5239999294281006,0,1,1.750999927520752,0
1,left,1.7139999866485596,0,1,1.0950000286102295,12
0, ,0,0,1,0.5,3.0
1,left,0.6180000305175781,0,1,0.5099999904632568,0
0, ,0,0,0,0.7410001754760742,6
0, ,0,0,0,0.619999885559082,6
0, ,0,0,0,0.6069998741149902,6
0, ,0,0,0,0.10500001907348633,6
1,left,0.6040000915527344,0,0,0.8949999809265137,6
1,left,0.30900001525878906,0,0,0.6439998149871826,6
1,left,1.5099999904632568,0,0,0.4570000171661377,6
1,right,0.3040001392364502,1,1,0.4440000057220459,6.0
0, ,0,0,0,0.023999929428100586,6
0, ,0,0,0,0.8700001239776611,6
0, ,0,0,0,0.7089998722076416,6
1,right,1.630000114440918,2,1,0.019999980926513672,0
1,left,0.5420000553131104,0,0,0.31999993324279785,6
0, ,0,0,0,0.8580000400543213,6
1,left,1.2769999504089355,0,0,0.875,6
1,left,0.307999849319458,0,0,0.437000036239624,6
1,left,0.3339998722076416,0,0,0.3680000305175781,6
1,left,0.4909999370574951,0,0,0.7330000400543213,6
0, ,0,0,0,0.7100000381469727,6
1,left,0.4479999542236328,0,1,0.28100013732910156,3.0
1,left,0.30099987983703613,0,1,0.35899996757507324,0
1,left,0.4570000171661377,0,1,0.38299989700317383,0
1,left,0.7349998950958252,0,0,1.309999942779541,6
1,left,0.6059999465942383,0,0,0.8029999732971191,6
0, ,0,0,0,2.9679999351501465,6
1,left,0.3230001926422119,0,0,0.24600005149841309,6
1,left,0.27300000190734863,0,0,0.37599992752075195,6
0, ,0,0,0,2.7699999809265137,6
1,left,0.23600006103515625,0,0,0.34400010108947754,6
1,left,0.37199997901916504,0,0,2.5190000534057617,6
0, ,0,0,0,0.556999921798706,6
0, ,0,0,0,0.9119999408721924,6
1,left,0.3280000686645508,0,0,0.2969999313354492,6
1,left,0.2969999313354492,0,0,0.3659999370574951,6
1,left,0.24600005149841309,0,0,0.36700010299682617,6
1,left,0.3269999027252197,0,0,0.4910001754760742,6
1,left,0.3320000171661377,0,0,2.7760000228881836,6
1,left,0.3580000400543213,0,0,0.9789998531341553,6
1,left,0.4629998207092285,0,0,0.43400001525878906,6
1,left,0.3789999485015869,0,0,0.627000093460083,6
1,left,0.33500003814697266,0,0,0.30299997329711914,6
1,left,0.2630000114440918,0,0,0.565000057220459,6
1,left,0.5490000247955322,0,0,0.6200001239776611,6
1,left,0.6740000247955322,0,0,0.41700005531311035,6
0, ,0,0,0,0.4719998836517334,6
1,left,0.7439999580383301,0,0,0.562999963760376,6
0, ,0,0,0,0.5770001411437988,6
1,left,0.31599998474121094,0,0,0.7640001773834229,6
0, ,0,0,0,0.505000114440918,6
0, ,0,0,0,0.5349998474121094,6
1,left,0.2869999408721924,0,0,0.9479999542236328,6
1,left,0.9650001525878906,0,0,0.6029999256134033,6
1,left,0.4179999828338623,0,0,1.4760000705718994,6
1,left,0.5530002117156982,0,0,0.6089999675750732,6
0, ,0,0,1,0.2950000762939453,0
1,left,0.45399999618530273,0,1,0.6299998760223389,0
0, ,0,0,0,0.36500000953674316,6
1,left,0.6640000343322754,0,0,0.5550000667572021,6
0, ,0,0,0,0.5870001316070557,6
1,left,0.09799981117248535,0,0,0.26399993896484375,6
1,left,0.14599990844726562,0,0,0.7360000610351562,6
0, ,0,0,0,0.29799985885620117,6
1,left,0.3990001678466797,0,0,0.3229999542236328,6
1,left,0.3250000476837158,0,0,0.27699995040893555,6
0, ,0,0,0,0.5049998760223389,6
1,left,0.2349998950958252,0,0,0.5750000476837158,6
1,left,0.5869998931884766,0,0,0.6109998226165771,6
0, ,0,0,0,0.34399986267089844,6
